City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,trzcianka,53.0406,16.4563,14.0,81,100,5.19,PL,1728520606
232,tvoroyri,61.5556,-6.8111,5.46,64,64,8.82,FO,1728520607
233,atafu village,-8.5421,-172.5159,28.48,69,14,5.82,TK,1728520609
234,makariv,50.4641,29.8113,12.03,89,79,3.49,UA,1728520610
235,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,34,20,7.0,RU,1728520611
236,luderitz,-26.6481,15.1594,13.13,79,0,3.77,NA,1728520612
237,zhangatas,43.5667,69.75,16.59,34,0,5.57,KZ,1728520613
238,tonj,7.2737,28.6822,21.39,94,77,1.99,SS,1728520614
239,nova sintra,14.8667,-24.7167,26.72,79,7,8.28,CV,1728520615
240,igarka,67.4667,86.5833,-7.59,94,87,4.3,RU,1728520616
241,marco,25.9726,-81.729,26.68,89,100,18.24,US,1728520528
242,brioude,45.1667,3.4167,10.86,88,93,4.18,FR,1728520618
243,poso,-1.3959,120.7524,30.8,60,58,0.87,ID,1728520620
244,pacific grove,36.6177,-121.9166,18.01,93,40,4.12,US,1728520621
245,mount pearl,47.5166,-52.7813,12.3,95,100,9.77,CA,1728520623
246,quesnel,52.9999,-122.5029,10.28,66,0,1.03,CA,1728520624
247,ancud,-41.8697,-73.8203,9.43,92,49,3.61,CL,1728520625
248,wajir,1.7471,40.0573,23.98,70,86,6.55,KE,1728520626
249,tarawa,1.419,172.984,32.05,66,20,5.66,KI,1728520627
250,coahuayana de hidalgo,18.7,-103.6583,25.66,90,100,0.71,MX,1728520628
251,aldinga beach,-35.2793,138.4604,18.13,50,0,6.66,AU,1728520629
252,naliya,23.2667,68.8333,28.39,62,10,3.4,IN,1728520630
253,port alfred,-33.5906,26.891,20.49,81,100,4.15,ZA,1728520631
254,constantia,44.1833,28.65,17.38,66,92,4.45,RO,1728520633
255,vernon,50.2581,-119.2691,17.74,23,0,2.57,CA,1728520407
256,nabire,-3.3667,135.4833,30.58,64,38,1.53,ID,1728520635
257,taman',45.2117,36.7161,18.02,71,54,3.5,RU,1728520636
258,calbuco,-41.768,-73.1273,10.12,89,9,3.03,CL,1728520637
259,colby,39.3958,-101.0524,25.03,25,0,2.57,US,1728520639
260,xuanzhou,30.9525,118.7553,19.2,55,97,1.41,CN,1728520640
261,dubinino,55.6192,89.0911,-1.52,84,8,3.43,RU,1728520641
262,newman,37.3138,-121.0208,30.02,36,100,2.24,US,1728520642
263,chukhloma,58.7525,42.6825,-2.03,94,49,2.78,RU,1728520643
264,alghero,40.5589,8.3181,22.05,68,0,8.75,IT,1728520644
265,brazzaville,-4.2658,15.2832,25.17,77,100,1.11,CG,1728520576
266,khanty-mansiysk,61.0042,69.0019,-4.94,74,0,1.0,RU,1728520646
267,kani keli,-12.9536,45.1033,24.59,70,26,3.62,YT,1728520647
268,luganville,-15.5333,167.1667,27.46,73,72,4.92,VU,1728520648
269,nar'yan-mar,67.6713,53.087,-2.47,72,8,1.42,RU,1728520649
270,shizilu,35.1711,118.8289,19.94,58,15,3.48,CN,1728520651
271,zarate,-34.0981,-59.0286,13.77,83,100,2.26,AR,1728520461
272,paoua,7.2427,16.4406,18.92,96,81,0.69,CF,1728520653
273,undurkhaan,47.3194,110.6556,4.58,46,12,5.22,MN,1728520654
274,crane,31.3974,-102.3501,27.19,24,0,6.23,US,1728520656
275,namibe,-15.1961,12.1522,18.23,72,32,2.62,AO,1728520657
276,chhor,25.5167,69.7667,28.34,35,5,2.36,PK,1728520658
277,parkes,-33.1333,148.1833,22.97,40,0,4.12,AU,1728520659
278,funafuti,-8.5243,179.1942,32.0,79,40,3.09,TV,1728520660
279,aktobe,50.2797,57.2072,12.05,82,0,2.0,KZ,1728520661
280,kawambwa,-9.7915,29.0791,21.93,54,98,1.7,ZM,1728520662
281,turaif,31.6725,38.6637,18.14,29,0,2.06,SA,1728520663
282,acapulco de juarez,16.8634,-99.8901,28.9,74,75,3.09,MX,1728520506
283,alice springs,-23.7,133.8833,28.75,16,0,4.12,AU,1728520666
284,ballina,-28.8667,153.5667,19.06,77,98,6.28,AU,1728520667
285,dabat,12.9842,37.765,13.13,79,100,1.03,ET,1728520668
286,cloverdale,38.8055,-123.0172,29.18,39,100,4.02,US,1728520669
287,jiazi,22.8779,116.067,24.44,75,0,3.54,CN,1728520670
288,sechura,-5.5569,-80.8222,18.24,82,73,7.52,PE,1728520671
289,bowen,-20.0167,148.2333,25.82,72,13,4.79,AU,1728520673
290,nuuk,64.1835,-51.7216,0.34,93,75,4.63,GL,1728520400
291,sferracavallo,42.726,12.0956,18.79,97,82,5.98,IT,1728520675
292,jawf al maqbabah,13.8378,45.8349,23.92,63,0,0.58,YE,1728520676
293,remire-montjoly,4.9167,-52.2667,26.02,83,0,0.51,GF,1728520677
294,punta arenas,-53.15,-70.9167,8.06,71,20,6.69,CL,1728520678
295,webster city,42.4694,-93.816,20.15,42,0,2.06,US,1728520679
296,west vancouver,49.3323,-123.1622,14.14,76,100,4.63,CA,1728520681
297,millerovo,48.9226,40.3967,9.07,81,1,0.83,RU,1728520682
298,minas de matahambre,22.5887,-83.9447,25.91,85,99,4.7,CU,1728520683
